sequence_length	hydrophobicity_full	density	radius_of_gyration	sphericity	surface_area_to_volume_ratio	euler_characteristic	inradius	circumradius	hydrodynamic_radius
840	"(-2.53, 1.38, 54.34000000000002, 0.06469047619047621)"	0.711257064	21.10313563	0.881526938	0.133993747	-139	20.374638	40.53201	25.39809458
2391	"(-2.53, 1.38, 102.32000000000006, 0.04279381012128819)"	0.186569008	39.90902162	0.93121513	0.057875204	-268	43.96137	75.711296	55.66454904
1689	"(-2.53, 1.38, 77.08000000000006, 0.04563647128478393)"	0.622156587	27.76243994	0.846999383	0.106727484	-208	25.934916	87.531845	33.18653346
1200	"(-2.53, 1.38, 39.19000000000004, 0.032658333333333366)"	0.824397311	22.05296896	0.892578249	0.125094528	-190	19.330952	43.59848	26.86808068
1227	"(-2.53, 1.38, 34.64000000000006, 0.028231458842705833)"	0.190808205	36.03431429	0.870568389	0.078873297	-253	38.6739	68.92335	43.6906362
4269	"(-2.53, 1.38, -225.2999999999999, -0.05277582572030918)"	0.128324292	54.77057114	0.960008878	0.0406278	-409	69.93008	97.06777	76.91706356
1782	"(-2.53, 1.38, -103.75999999999993, -0.05822671156004486)"	0.258823496	39.93838498	0.878320817	0.07455739	-226	33.28583	82.362335	45.81180246
1131	"(-2.53, 1.38, 107.24000000000004, 0.09481874447391692)"	0.280198444	36.89323504	0.855963117	0.092959498	-193	35.47468	69.84142	37.70269826
1311	"(-2.53, 1.38, 108.08000000000004, 0.08244088482074755)"	0.14889094	37.77622296	0.885074512	0.068373436	-208	37.905815	77.843544	49.57400605
378	"(-2.53, 1.38, 4.210000000000015, 0.011137566137566177)"	0.295550106	23.19908864	0.85070548	0.136428498	-109	24.619223	53.538418	25.84859415
1101	"(-2.53, 1.38, 94.23000000000003, 0.08558583106267033)"	0.675536835	22.20846954	0.884559557	0.121124328	-184	21.295439	52.752586	28.0003072
4023	"(-2.53, 1.38, 63.69000000000011, 0.01583146905294559)"	0.120444092	59.1967641	0.947091762	0.041307539	-367	60.369858	97.52252	76.68313818
2241	"(-2.53, 1.38, -24.85999999999991, -0.011093261936635391)"	0.162307176	39.67948267	0.917747806	0.058185112	-304	45.98967	79.29032	56.18055528
2592	"(-2.53, 1.38, -145.74999999999991, -0.056230709876543175)"	0.122048826	63.88418577	0.814829476	0.055955598	-271	47.24992	153.51569	65.79774071
867	"(-2.53, 1.38, 64.49000000000004, 0.07438292964244525)"	0.87747294	18.51818664	0.936230968	0.133802958	-187	22.299374	34.541855	23.94818131
3747	"(-2.53, 1.38, 103.84000000000012, 0.027712836936215672)"	0.494289527	38.35196797	0.898159152	0.071214234	-247	42.68969	75.00725	46.90305694
1236	"(-2.53, 1.38, 26.190000000000037, 0.021189320388349545)"	0.455825825	26.30944565	0.89083572	0.10067185	-208	29.296791	60.653694	33.451499
1848	"(-2.53, 1.38, 82.19000000000007, 0.044475108225108265)"	0.108208942	46.58700783	0.936390238	0.053119374	-289	53.42846	82.209984	60.31306923
3357	"(-2.53, 1.38, -493.1999999999999, -0.1469168900804289)"	0.086367889	63.32194441	0.956821943	0.039477477	-394	71.45036	101.34682	79.42198543
1899	"(-2.53, 1.38, 95.05000000000005, 0.05005265929436548)"	0.177498339	67.64535393	0.771078202	0.073471068	-220	44.900562	123.465485	52.95493923
1005	"(-2.53, 1.38, 109.04000000000002, 0.10849751243781097)"	0.84430453	20.26205555	0.929069461	0.128879497	-202	20.808764	37.533276	25.05470167
1161	"(-2.53, 1.38, -18.109999999999957, -0.015598621877691609)"	0.655285475	22.42173664	0.876549462	0.117695234	-175	22.563158	56.544437	29.07943416
1200	"(-2.53, 1.38, -4.209999999999965, -0.0035083333333333043)"	0.615390382	24.60823898	0.883267796	0.112029302	-208	25.22678	57.848236	30.31776818
597	"(-2.53, 1.38, 40.020000000000024, 0.06703517587939703)"	0.405793858	29.38273323	0.769874297	0.142733575	-196	21.60155	69.368355	27.3007948
936	"(-2.53, 1.38, 74.63000000000002, 0.07973290598290601)"	0.290824244	33.97593835	0.828371653	0.102258097	-160	23.122458	85.9087	35.4159031
612	"(-2.53, 1.38, 0.7500000000000178, 0.0012254901960784604)"	0.131764104	39.90830157	0.857695944	0.087981349	-211	41.619915	58.201042	39.75550548
447	"(-2.53, 1.38, 57.940000000000005, 0.12961968680089486)"	0.677096203	21.52598533	0.868309507	0.164935423	-184	17.138992	38.880795	20.94752701
1404	"(-2.53, 1.38, 7.810000000000041, 0.0055626780626780925)"	0.448379906	28.13317561	0.806290292	0.104790649	-196	20.999487	90.500435	35.50645339
1800	"(-2.53, 1.38, 131.06000000000003, 0.07281111111111113)"	0.113146766	44.85659978	0.904521438	0.05587973	-253	52.535606	98.31184	59.35374007
1836	"(-2.53, 1.38, 27.650000000000055, 0.015059912854030532)"	0.725994306	25.1272401	0.927043739	0.099236135	-220	27.863234	47.10024	32.6100293
5976	"(-2.53, 1.38, -201.2799999999998, -0.03368139223560907)"	0.178578967	49.64494419	0.944597262	0.041296943	-337	66.009735	97.436165	76.90537026
4425	"(-2.53, 1.38, -745.9999999999999, -0.1685875706214689)"	0.098325292	64.57483621	0.959775995	0.037523856	-409	74.34925	103.0096	83.29979069
1467	"(-2.53, 1.38, 37.50000000000006, 0.025562372188139098)"	0.358749835	29.04320864	0.879721273	0.089278407	-217	31.017056	63.18858	38.1970418
462	"(-2.53, 1.38, 70.07000000000002, 0.1516666666666667)"	0.52119368	27.45292868	0.772268085	0.168667529	-190	12.767455	60.565666	23.03147139
1920	"(-2.53, 1.38, 166.43000000000006, 0.0866822916666667)"	0.406126521	30.79936988	0.90205109	0.082886561	-244	31.518637	61.955788	40.12416411
7647	"(-2.53, 1.38, 290.8800000000002, 0.0380384464495881)"	0.373109292	50.85288207	0.885385584	0.051487586	-283	41.31377	109.56209	65.80914912
1692	"(-2.53, 1.38, 97.60000000000007, 0.05768321513002368)"	0.09656032	74.97607782	0.749028839	0.065448683	-211	36.56159	151.38734	61.19582655
1209	"(-2.53, 1.38, 103.61000000000004, 0.08569892473118283)"	0.425466315	26.37327085	0.895850555	0.098062854	-166	24.261787	53.66289	34.14924925
3984	"(-2.53, 1.38, 121.93000000000013, 0.030604919678714895)"	0.186979294	48.20986109	0.895849121	0.050436046	-250	46.963013	110.52201	66.39652492
3669	"(-2.53, 1.38, 34.36000000000011, 0.009364949577541595)"	0.488771657	35.8588621	0.86476651	0.073892171	-205	41.314934	77.9731	46.94874237
1389	"(-2.53, 1.38, 30.660000000000053, 0.022073434125270016)"	0.142394213	44.55897238	0.897785186	0.066087452	-226	44.74842	73.80756	50.56264801
3258	"(-2.53, 1.38, 359.18000000000006, 0.11024554941682016)"	0.432625227	40.48605563	0.86707842	0.075362823	-280	35.06075	71.411865	45.90983365
384	"(-2.53, 1.38, 65.54, 0.17067708333333334)"	0.355790788	27.68780548	0.720595454	0.171406524	-97	16.863985	66.484955	24.28859483
1785	"(-2.53, 1.38, 24.42000000000005, 0.013680672268907592)"	0.306399635	32.18702502	0.899295861	0.077342115	-220	35.805973	63.422993	43.13229994
3537	"(-2.53, 1.38, 149.11000000000016, 0.04215719536330228)"	0.257055299	55.40310018	0.777896388	0.067483211	-274	51.010757	131.25111	57.14835855
1449	"(-2.53, 1.38, -37.799999999999955, -0.026086956521739098)"	0.235322527	30.76510185	0.823353686	0.084624032	-250	33.534924	73.02233	43.0567363
582	"(-2.53, 1.38, 95.72000000000003, 0.16446735395189008)"	0.420377763	27.45769868	0.758815421	0.149432226	-145	17.869104	82.66868	26.45701482
4365	"(-2.53, 1.38, -0.09999999999983089, -2.290950744555118e-05)"	0.315047491	53.5910182	0.827262312	0.06304983	-229	37.798527	114.927475	57.51671772
1494	"(-2.53, 1.38, 14.610000000000051, 0.009779116465863488)"	0.359097982	29.75776082	0.85429775	0.090490573	-211	25.191887	61.962677	38.80687319
324	"(-2.53, 1.38, 75.27000000000001, 0.23231481481481484)"	0.906652788	19.75480959	0.793317999	0.218137886	-163	11.159663	41.73305	17.33575843
1476	"(-2.53, 1.38, 51.720000000000056, 0.0350406504065041)"	0.152143685	43.26759556	0.880205861	0.065835437	-235	42.414745	87.440025	51.76989373
3402	"(-2.53, 1.38, 390.60000000000014, 0.11481481481481486)"	0.41987597	35.97477086	0.881878271	0.071326432	-247	34.933918	70.94952	47.69382036
2997	"(-2.53, 1.38, 289.0100000000001, 0.09643309976643313)"	0.188794372	43.57188006	0.91470076	0.054569973	-235	41.6082	91.98408	60.10193745
378	"(-2.53, 1.38, 10.940000000000012, 0.028941798941798973)"	0.252754784	30.77979896	0.754709464	0.145984069	-118	21.542114	66.612404	27.22926981
495	"(-2.53, 1.38, 10.900000000000027, 0.022020202020202075)"	0.227329351	31.1688284	0.826589448	0.116018671	-175	25.868593	63.62588	31.28264819
1728	"(-2.53, 1.38, 95.22000000000006, 0.0551041666666667)"	0.399698468	32.61118979	0.889873287	0.08635869	-193	27.811785	60.453804	39.03795339
846	"(-2.53, 1.38, 11.630000000000024, 0.01374704491725771)"	1.037733133	17.56491038	0.926951747	0.144688167	-187	18.801233	30.918457	22.36820388
7830	"(-2.53, 1.38, -230.40999999999968, -0.029426564495529973)"	0.330936543	49.73963629	0.93943694	0.046568027	-283	56.560863	89.11808	68.57499501
543	"(-2.53, 1.38, 90.45000000000002, 0.16657458563535915)"	0.166596797	40.77481443	0.799462127	0.105038745	-178	26.388897	87.17015	35.72513136
1683	"(-2.53, 1.38, -26.55999999999993, -0.01578134284016633)"	0.106485261	46.74012721	0.919749709	0.054948571	-256	50.237556	88.245476	59.36017814
3891	"(-2.53, 1.38, 239.45000000000013, 0.0615394500128502)"	0.334688892	41.99355768	0.930397406	0.059655121	-274	45.890602	74.675156	54.05116156
546	"(-2.53, 1.38, -20.299999999999976, -0.03717948717948714)"	0.16734807	35.6169503	0.84737487	0.099217001	-166	28.510622	62.50153	35.68285356
4305	"(-2.53, 1.38, -21.279999999999866, -0.004943089430894278)"	0.32894803	61.90305943	0.830373545	0.063948586	-259	43.197536	112.23353	56.49588389
2859	"(-2.53, 1.38, 115.56000000000009, 0.04041972717733476)"	0.105899347	57.84391398	0.919244561	0.045266894	-298	58.55026	106.840385	72.09572133
1575	"(-2.53, 1.38, -16.129999999999953, -0.010241269841269812)"	0.477882074	28.78285404	0.901680912	0.092648381	-220	26.764706	63.241264	35.91125165
3000	"(-2.53, 1.38, -111.09999999999991, -0.0370333333333333)"	0.20747178	41.21274205	0.917259973	0.056169046	-295	47.758327	87.05715	58.22798582
3942	"(-2.53, 1.38, -7.459999999999859, -0.0018924403855910346)"	0.416114541	40.60137487	0.869060763	0.067896381	-241	29.67962	105.63351	50.84221809
1293	"(-2.53, 1.38, 123.03000000000004, 0.09515081206496523)"	0.283276488	32.0997098	0.866983758	0.086495925	-226	32.256653	63.196537	40.00503399
402	"(-2.53, 1.38, 27.35000000000001, 0.06803482587064678)"	0.233614603	30.73084828	0.792433046	0.132446243	-181	19.309908	54.182724	28.5837387
390	"(-2.53, 1.38, 68.48000000000002, 0.17558974358974364)"	0.352862604	28.60915837	0.713575254	0.17186221	-103	14.572677	71.46239	24.4625137
375	"(-2.53, 1.38, 52.65000000000001, 0.14040000000000002)"	0.270844556	30.8214812	0.746023399	0.15180583	-121	18.019445	58.91005	26.48990211
1077	"(-2.53, 1.38, 11.110000000000042, 0.010315691736304589)"	0.151663163	38.3819851	0.841844125	0.077335201	-238	34.32184	80.05057	46.07998705
609	"(-2.53, 1.38, 35.640000000000015, 0.058522167487684754)"	0.491890042	21.82644659	0.830298622	0.140414736	-175	16.39146	55.536808	25.73204184
1566	"(-2.53, 1.38, 100.39000000000004, 0.06410600255427844)"	0.412416902	26.29199582	0.86842663	0.093678099	-181	29.210878	62.81443	36.87653037
1359	"(-2.53, 1.38, 57.48000000000005, 0.042295805739514386)"	0.318242382	35.68658423	0.818275393	0.094242504	-172	31.151548	65.24728	38.90227043
3150	"(-2.53, 1.38, 9.27000000000011, 0.0029428571428571776)"	0.198010278	46.26971302	0.912228025	0.054267209	-295	47.065853	114.84647	60.60107944
735	"(-2.53, 1.38, -26.14999999999997, -0.035578231292516964)"	0.422355945	23.50530885	0.861004487	0.119513772	-169	21.172216	50.27844	29.15398245
2328	"(-2.53, 1.38, -29.799999999999933, -0.01280068728522334)"	0.211955879	42.17512962	0.851521643	0.066011179	-229	42.684643	95.263725	53.37133621
462	"(-2.53, 1.38, 83.90000000000002, 0.18160173160173165)"	0.928201039	14.37587933	0.919066515	0.176410659	-142	13.776012	27.632576	18.50331276
1863	"(-2.53, 1.38, -209.77999999999994, -0.11260332796564677)"	0.147488521	41.75649937	0.879909287	0.061511116	-256	44.25721	106.41226	55.42806845
489	"(-2.53, 1.38, 51.55000000000001, 0.1054192229038855)"	0.663333496	17.17091353	0.851679127	0.164596498	-130	16.434586	48.28195	21.40053639
1158	"(-2.53, 1.38, 66.80000000000005, 0.057685664939551)"	0.350040733	26.85919277	0.881335565	0.096022574	-184	35.751892	55.755207	35.44921439
684	"(-2.53, 1.38, 64.36000000000001, 0.09409356725146201)"	0.999021911	16.50140225	0.927010612	0.154444566	-199	18.90218	29.378738	20.95385417
588	"(-2.53, 1.38, -49.04999999999998, -0.08341836734693875)"	0.156022241	34.55706745	0.789785211	0.102120342	-163	29.714798	78.63304	37.19632194
915	"(-2.53, 1.38, 100.11000000000004, 0.10940983606557382)"	0.146939008	37.63244828	0.875972211	0.080262939	-229	33.87293	72.86517	42.66933435
375	"(-2.53, 1.38, 50.67000000000001, 0.13512000000000002)"	0.335168003	24.830668	0.815736121	0.146901136	-151	22.56649	47.277214	25.03493148
1239	"(-2.53, 1.38, 22.15000000000004, 0.017877320419693334)"	0.660979387	22.35297286	0.913021883	0.111206357	-169	21.742132	55.9134	29.54680013
834	"(-2.53, 1.38, 50.89000000000002, 0.0610191846522782)"	0.164051923	33.13003618	0.829462382	0.088179458	-145	40.172123	82.37157	41.01636198
540	"(-2.53, 1.38, 24.110000000000014, 0.04464814814814817)"	0.787455299	16.80369064	0.884417131	0.159723804	-145	16.650822	47.233253	21.23706335
1869	"(-2.53, 1.38, 104.25000000000009, 0.05577849117174964)"	0.08493292	65.48200408	0.841810383	0.055091435	-244	48.047318	123.74919	64.68787647
1458	"(-2.53, 1.38, 56.51000000000003, 0.038758573388203044)"	0.218530696	46.53256561	0.827963115	0.079619966	-280	33.107346	96.829636	45.50805536
990	"(-2.53, 1.38, -91.06999999999995, -0.09198989898989894)"	0.390916268	37.9426386	0.821954359	0.112614335	-211	24.590528	67.77541	32.41006293
1269	"(-2.53, 1.38, 19.660000000000036, 0.015492513790386159)"	0.342367774	30.6283794	0.866870561	0.092870838	-208	24.45351	65.3271	37.26384265
2415	"(-2.53, 1.38, -15.84999999999992, -0.006563146997929574)"	0.109947883	51.52512465	0.938133038	0.047886383	-289	62.026318	91.260506	66.77975051
936	"(-2.53, 1.38, 79.28000000000003, 0.08470085470085473)"	0.404776725	28.26504822	0.778129724	0.122832382	-196	21.496553	89.00785	31.38747463
1152	"(-2.53, 1.38, 30.55000000000004, 0.026519097222222256)"	0.330627789	30.740318	0.763755986	0.110642049	-133	26.93823	92.558495	35.50147661
2613	"(-2.53, 1.38, 76.64000000000007, 0.029330271718331448)"	0.47722194	36.13737419	0.920985822	0.077135441	-244	32.627586	68.477165	42.22934462
822	"(-2.53, 1.38, 44.39000000000002, 0.05400243309002436)"	0.37073288	26.70057781	0.889468681	0.108428087	-166	25.876043	47.7896	31.10633175
1473	"(-2.53, 1.38, 51.56000000000005, 0.035003394433129706)"	0.383219662	29.57825	0.886499375	0.089446611	-214	27.277466	60.397713	37.83370983
657	"(-2.53, 1.38, 124.66000000000004, 0.18974124809741255)"	0.116427403	40.49185942	0.798222281	0.091835391	-166	30.373842	101.09483	40.92487178
285	"(-2.53, 1.38, 21.75000000000001, 0.07631578947368425)"	0.37127336	24.04322236	0.718144004	0.191131669	-133	13.362025	53.376324	21.85632114
759	"(-2.53, 1.38, 35.560000000000024, 0.046851119894598184)"	0.572150969	21.49688877	0.848137778	0.134717204	-148	19.495245	50.930447	26.25619476
1821	"(-2.53, 1.38, 289.21000000000004, 0.15881933003844043)"	0.577664804	35.67225181	0.854491612	0.100852496	-247	29.708166	64.322105	34.81182573
681	"(-2.53, 1.08, 133.04000000000002, 0.19535976505139505)"	0.135514718	46.43803695	0.736039135	0.10307191	-241	29.453348	84.42996	39.54394776
2124	"(-2.53, 1.38, 223.21000000000004, 0.10508945386064032)"	0.102027181	131.9448219	0.638001058	0.071194064	-292	35.467453	230.29095	66.04745217
1569	"(-2.53, 1.38, 82.30000000000007, 0.05245379222434676)"	0.27287548	31.48368243	0.902916615	0.077912379	-184	37.133766	59.8311	42.64490408
2643	"(-2.53, 1.38, 158.73000000000008, 0.060056753688989814)"	0.168327986	40.5504599	0.885909954	0.056487685	-181	44.142696	94.26237	59.94844093
528	"(-2.53, 1.38, 41.09000000000002, 0.07782196969696974)"	0.124600764	36.60331403	0.845944971	0.093510165	-160	26.533285	62.484375	37.92453953
1263	"(-2.53, 1.38, -50.019999999999946, -0.03960411718131429)"	0.105016802	46.88983734	0.913980631	0.060769789	-274	45.06519	76.30159	54.01278014
1155	"(-2.53, 1.38, 132.49000000000004, 0.11470995670995675)"	0.45151168	24.17480964	0.867197381	0.106377951	-172	22.481937	56.26056	32.52008528
1128	"(-2.53, 1.38, 121.50000000000006, 0.10771276595744686)"	0.42392777	32.75786468	0.792683437	0.114074975	-199	20.655968	83.90235	33.17653972
1653	"(-2.53, 1.38, 118.89000000000006, 0.07192377495462798)"	0.35691053	29.76493534	0.886632093	0.085269692	-172	33.11657	64.15559	39.6810463
522	"(-2.53, 1.38, 51.23000000000002, 0.09814176245210732)"	0.299167628	25.735198	0.791528897	0.131821621	-115	18.39914	62.853348	28.75198493
3672	"(-2.53, 1.38, 195.22000000000014, 0.053164488017429234)"	0.274728802	57.19139066	0.842634009	0.062429422	-274	43.578156	107.18601	57.02863223
3690	"(-2.53, 1.38, -219.80999999999986, -0.059569105691056876)"	0.114453666	57.78503662	0.940651025	0.041749762	-406	66.01784	103.05809	76.39038853
1674	"(-2.53, 1.38, 110.37000000000006, 0.0659318996415771)"	0.353523791	28.79046463	0.884515118	0.084781432	-217	26.339127	66.08556	40.00508973
1329	"(-2.53, 1.38, 66.71000000000004, 0.050195635816403336)"	0.107598984	44.94766857	0.906298787	0.059963033	-271	48.600025	79.68939	55.20345542
2298	"(-2.53, 1.38, -65.88999999999994, -0.02867275892080067)"	0.192561364	43.62141326	0.822840377	0.066342414	-214	35.018566	115.04975	54.95590844
1512	"(-2.53, 1.38, 67.36000000000007, 0.0445502645502646)"	0.467715941	27.0707318	0.902139146	0.094124284	-223	25.916796	54.10371	35.33019546
552	"(-2.53, 1.38, 35.25000000000002, 0.06385869565217395)"	0.829831145	16.6064681	0.869277149	0.165364629	-130	16.215363	39.675568	20.86990007
1527	"(-2.53, 1.38, -3.709999999999944, -0.0024296005239030413)"	0.363009121	29.64911426	0.898759892	0.085764687	-235	31.259956	69.60835	38.91966243
3015	"(-2.53, 1.38, 156.2300000000001, 0.051817578772802686)"	0.130242118	49.11420229	0.933812205	0.047044073	-307	57.582638	89.26685	68.28994977
384	"(-2.53, 1.38, 45.38000000000001, 0.11817708333333336)"	0.491391335	21.72000865	0.760032643	0.177149132	-130	14.572306	59.802616	22.28178507
303	"(-2.53, 1.38, 62.59, 0.20656765676567657)"	0.673789036	18.4180044	0.855188046	0.190217852	-148	15.088502	34.04466	18.44201456
306	"(-2.53, 1.38, 56.81000000000002, 0.18565359477124188)"	0.68143898	15.43375479	0.864413557	0.192176343	-112	13.2074585	31.1903	18.05925207
903	"(-2.53, 1.38, 2.24000000000004, 0.002480620155038804)"	0.451108836	24.31892891	0.821709268	0.120647274	-130	25.050581	78.126	30.26115898
