	density	radius_of_gyration	surface_area_to_volume_ratio	sphericity	euler_characteristic	inradius	circumradius	hydrodynamic_radius	sequence_length	avg_plddt	hull_presence	hull_presence_tryps_0010min	hull_presence_tryps_0015min	hull_presence_tryps_0020min	hull_presence_tryps_0030min	hull_presence_tryps_0040min	hull_presence_tryps_0050min	hull_presence_tryps_0060min	hull_presence_tryps_0120min	hull_presence_tryps_0180min	hull_presence_tryps_0240min	hull_presence_tryps_1440min	hull_presence_tryps_leftover	predicted_disorder_content	betti_0	betti_1	lys_arg_layer_1	lys_arg_layer_2	lys_arg_layer_3	lys_arg_layer_4	lys_arg_layer_5	lys_arg_layer_6	lys_arg_layer_7	lys_arg_layer_8	lys_arg_layer_9	lys_arg_layer_10
hull_presence	-0.163	0.364	0.279	-0.590		-0.331	0.269	-0.232	-0.372	0.168	1.000	-0.012	0.534	-0.045	0.164	0.130	0.219	-0.201	0.335	0.247	0.278	0.095	0.223	0.103	-0.372	-0.350	-0.438	-0.077	0.111	-0.206	-0.041	-0.280	-0.273	-0.165	0.098	-0.163
hull_presence_tryps_0010min	0.180	-0.212	0.223	0.101		-0.242	-0.309	-0.235	-0.228	-0.155	-0.012	1.000	-0.103	0.146	0.018	-0.011	-0.178	-0.021	0.198	-0.130	-0.123	-0.087	-0.060	-0.150	-0.228	-0.230	-0.244	-0.183	-0.158	-0.201	-0.160	-0.144	-0.241	-0.156	-0.153	-0.131
hull_presence_tryps_0015min	-0.096	0.544	0.279	-0.634		-0.278	0.376	-0.122	-0.185	0.185	0.534	-0.103	1.000	-0.101	-0.140	-0.087	-0.015	-0.058	-0.116	-0.125	-0.066	-0.021	-0.091	0.521	-0.185	-0.231	-0.196	-0.071	0.155	-0.025	-0.031	-0.220	-0.093	-0.077	-0.045	-0.051
hull_presence_tryps_0020min	-0.144	0.140	-0.269	0.183		0.234	0.024	0.256	0.328	-0.217	-0.045	0.146	-0.101	1.000	0.197	0.219	-0.094	0.191	-0.107	0.130	-0.070	-0.083	-0.120	0.156	0.328	0.274	0.205	0.336	0.329	-0.021	0.124	0.068	0.168	-0.069	-0.012	-0.175
hull_presence_tryps_0030min	-0.098	0.063	-0.077	0.021		0.071	0.057	0.065	0.079	-0.187	0.164	0.018	-0.140	0.197	1.000	-0.063	-0.165	0.123	0.434	0.308	-0.077	-0.182	-0.132	-0.038	0.079	0.024	-0.022	0.239	0.117	0.181	0.125	0.100	-0.021	-0.011	0.086	0.028
hull_presence_tryps_0040min	0.089	-0.112	0.201	-0.127		-0.151	-0.084	-0.212	-0.152	0.247	0.130	-0.011	-0.087	0.219	-0.063	1.000	-0.110	0.130	-0.029	-0.033	-0.057	-0.041	-0.081	-0.082	-0.152	-0.133	-0.155	-0.121	-0.160	-0.153	-0.197	0.000	-0.120	-0.160	-0.145	-0.092
hull_presence_tryps_0050min	-0.062	-0.023	-0.115	0.094		0.068	0.016	0.050	0.032	0.066	0.219	-0.178	-0.015	-0.094	-0.165	-0.110	1.000	-0.043	-0.040	-0.031	0.073	0.530	-0.158	0.020	0.032	0.153	0.024	0.199	0.110	0.222	0.434	0.112	0.029	0.114	0.308	-0.010
hull_presence_tryps_0060min	0.106	-0.060	-0.158	0.084		0.029	0.023	0.067	0.314	-0.054	-0.201	-0.021	-0.058	0.191	0.123	0.130	-0.043	1.000	-0.014	-0.162	-0.054	0.064	-0.010	0.081	0.314	0.393	0.225	0.244	0.186	0.420	0.047	0.105	-0.076	-0.160	0.047	-0.054
hull_presence_tryps_0120min	0.074	-0.126	0.136	-0.031		-0.204	-0.140	-0.211	-0.245	-0.031	0.335	0.198	-0.116	-0.107	0.434	-0.029	-0.040	-0.014	1.000	0.595	0.603	0.226	0.021	-0.295	-0.245	-0.231	-0.286	0.034	-0.104	-0.005	0.085	-0.039	-0.176	-0.158	0.099	-0.165
hull_presence_tryps_0180min	0.085	-0.103	0.081	0.048		-0.088	-0.136	-0.109	-0.039	0.104	0.247	-0.130	-0.125	0.130	0.308	-0.033	-0.031	-0.162	0.595	1.000	0.788	0.137	-0.016	-0.165	-0.039	-0.022	-0.132	0.084	0.066	-0.235	0.031	-0.113	0.079	-0.202	0.018	-0.168
hull_presence_tryps_0240min	0.083	-0.041	0.095	-0.068		-0.125	-0.050	-0.129	-0.093	0.143	0.278	-0.123	-0.066	-0.070	-0.077	-0.057	0.073	-0.054	0.603	0.788	1.000	0.321	0.180	-0.205	-0.093	-0.051	-0.136	0.051	0.014	-0.100	0.054	-0.088	0.061	-0.115	0.120	-0.076
hull_presence_tryps_1440min	0.173	-0.177	0.047	0.041		-0.132	-0.072	-0.163	-0.086	0.216	0.095	-0.087	-0.021	-0.083	-0.182	-0.041	0.530	0.064	0.226	0.137	0.321	1.000	0.029	-0.368	-0.086	-0.052	-0.124	0.154	-0.049	0.130	0.345	-0.018	-0.236	-0.184	0.365	-0.140
hull_presence_tryps_leftover	-0.014	-0.088	0.095	-0.186		-0.070	-0.049	-0.118	-0.094	0.133	0.223	-0.060	-0.091	-0.120	-0.132	-0.081	-0.158	-0.010	0.021	-0.016	0.180	0.029	1.000	-0.280	-0.094	-0.057	-0.132	-0.131	-0.065	-0.162	-0.286	-0.108	-0.278	-0.156	-0.029	-0.145
predicted_disorder_content	-0.504	0.688	-0.317	-0.197		0.419	0.558	0.532	0.392	-0.304	0.103	-0.150	0.521	0.156	-0.038	-0.082	0.020	0.081	-0.295	-0.165	-0.205	-0.368	-0.280	1.000	0.392	0.235	0.447	0.203	0.265	0.208	0.025	0.265	0.280	0.170	0.062	0.191
betti_0	-0.308	0.363	-0.761	0.401		0.778	0.409	0.802	1.000	-0.338	-0.372	-0.228	-0.185	0.328	0.079	-0.152	0.032	0.314	-0.245	-0.039	-0.093	-0.086	-0.094	0.392	1.000	0.898	0.886	0.749	0.617	0.505	0.227	0.433	0.378	0.291	0.162	0.247
betti_1	-0.031	0.073	-0.588	0.469		0.520	0.119	0.537	0.898	-0.040	-0.350	-0.230	-0.231	0.274	0.024	-0.133	0.153	0.393	-0.231	-0.022	-0.051	-0.052	-0.057	0.235	0.898	1.000	0.701	0.686	0.647	0.442	0.092	0.247	0.301	0.143	-0.048	0.104
lys_arg_layer_1	-0.427	0.420	-0.809	0.433		0.903	0.457	0.899	0.886	-0.485	-0.438	-0.244	-0.196	0.205	-0.022	-0.155	0.024	0.225	-0.286	-0.132	-0.136	-0.124	-0.132	0.447	0.886	0.701	1.000	0.574	0.425	0.534	0.415	0.687	0.574	0.441	0.393	0.286
lys_arg_layer_2	-0.171	0.359	-0.428	0.159		0.463	0.344	0.513	0.749	-0.205	-0.077	-0.183	-0.071	0.336	0.239	-0.121	0.199	0.244	0.034	0.084	0.051	0.154	-0.131	0.203	0.749	0.686	0.574	1.000	0.781	0.521	0.387	0.454	0.303	0.177	0.314	0.121
lys_arg_layer_3	-0.093	0.369	-0.313	0.054		0.269	0.271	0.378	0.617	-0.083	0.111	-0.158	0.155	0.329	0.117	-0.160	0.110	0.186	-0.104	0.066	0.014	-0.049	-0.065	0.265	0.617	0.647	0.425	0.781	1.000	0.458	0.210	0.227	0.390	0.076	0.157	-0.019
lys_arg_layer_4	-0.132	0.239	-0.459	0.229		0.400	0.290	0.453	0.505	-0.219	-0.206	-0.201	-0.025	-0.021	0.181	-0.153	0.222	0.420	-0.005	-0.235	-0.100	0.130	-0.162	0.208	0.505	0.442	0.534	0.521	0.458	1.000	0.419	0.575	0.395	0.402	0.419	0.245
lys_arg_layer_5	-0.213	0.285	-0.374	0.200		0.410	0.260	0.397	0.227	-0.423	-0.041	-0.160	-0.031	0.124	0.125	-0.197	0.434	0.047	0.085	0.031	0.054	0.345	-0.286	0.025	0.227	0.092	0.415	0.387	0.210	0.419	1.000	0.597	0.459	0.390	0.715	0.123
lys_arg_layer_6	-0.344	0.323	-0.465	0.239		0.635	0.319	0.605	0.433	-0.440	-0.280	-0.144	-0.220	0.068	0.100	0.000	0.112	0.105	-0.039	-0.113	-0.088	-0.018	-0.108	0.265	0.433	0.247	0.687	0.454	0.227	0.575	0.597	1.000	0.603	0.461	0.542	0.174
lys_arg_layer_7	-0.139	0.268	-0.316	0.255		0.505	0.185	0.460	0.378	-0.279	-0.273	-0.241	-0.093	0.168	-0.021	-0.120	0.029	-0.076	-0.176	0.079	0.061	-0.236	-0.278	0.280	0.378	0.301	0.574	0.303	0.390	0.395	0.459	0.603	1.000	0.563	0.366	0.254
lys_arg_layer_8	-0.149	0.348	-0.296	0.116		0.453	0.438	0.425	0.291	-0.221	-0.165	-0.156	-0.077	-0.069	-0.011	-0.160	0.114	-0.160	-0.158	-0.202	-0.115	-0.184	-0.156	0.170	0.291	0.143	0.441	0.177	0.076	0.402	0.390	0.461	0.563	1.000	0.309	0.786
lys_arg_layer_9	-0.264	0.303	-0.306	0.141		0.433	0.309	0.401	0.162	-0.383	0.098	-0.153	-0.045	-0.012	0.086	-0.145	0.308	0.047	0.099	0.018	0.120	0.365	-0.029	0.062	0.162	-0.048	0.393	0.314	0.157	0.419	0.715	0.542	0.366	0.309	1.000	0.124
lys_arg_layer_10	-0.126	0.325	-0.146	-0.091		0.276	0.513	0.267	0.247	-0.099	-0.163	-0.131	-0.051	-0.175	0.028	-0.092	-0.010	-0.054	-0.165	-0.168	-0.076	-0.140	-0.145	0.191	0.247	0.104	0.286	0.121	-0.019	0.245	0.123	0.174	0.254	0.786	0.124	1.000
