sequence_length	hydrophobicity_full	density	radius_of_gyration	sphericity	surface_area_to_volume_ratio	euler_characteristic	inradius	circumradius	hydrodynamic_radius	CPI
3696	(-2.53, 1.38, 282.0600000000001, 0.0763149350649351)	0.17455605379369518	64.0118598951043	0.8208120116256267	0.05490905621810707	-274	58.09706	158.65305	66.56310499101524	1
318	(-2.53, 1.38, 63.780000000000015, 0.2005660377358491)	0.2573660978438195	41.004022865440824	0.6480177688140696	0.17817039416939143	-142	27.656307	78.10381	25.983568738091087	1
1563	(-2.53, 1.38, 159.33000000000004, 0.10193857965451059)	0.43657416025763196	32.90674139880873	0.8235504824287969	0.0996659483353176	-211	26.116709	79.38606	36.54973439422319	1
1644	(-2.53, 1.38, 35.50000000000006, 0.021593673965936776)	0.24907587603460968	34.37024496911423	0.8547525229945224	0.07821300531888249	-202	38.9065	79.6046	44.8747342252725	1
924	(-2.53, 1.38, 24.01000000000004, 0.025984848484848527)	0.1514768584623318	40.687915647480494	0.8546945844850101	0.08063522401336795	-220	36.976685	79.64155	43.52968312585588	1
1434	(-2.53, 1.38, 123.15000000000003, 0.08587866108786613)	0.5659604086454533	25.30181870198482	0.9136508906875582	0.10029464336395022	-199	26.808714	45.881706	32.73883599819384	1
585	(-2.53, 1.38, 32.55000000000002, 0.055641025641025674)	0.1271070482078549	42.98230739913315	0.781105693833612	0.09989539760764873	-178	28.955563	84.678795	38.44731105423956	1
2262	(-2.53, 1.38, -225.61999999999992, -0.09974358974358971)	0.0933416338360268	52.65284407410455	0.9441208670796918	0.04508083585329557	-271	63.083115	92.88792	70.48581056417021	1
2316	(-2.53, 1.38, 110.82000000000008, 0.04784974093264252)	0.4214489221779465	31.80309618331367	0.8864515851740875	0.08031888381171136	-205	30.215157	76.20441	42.13554050103581	1
3198	(-2.53, 1.38, 20.690000000000097, 0.006469668542839305)	0.14551901688507246	53.00148953177595	0.914972402643138	0.048805870260793104	-292	54.402737	100.411705	67.18018547210205	1
615	(-2.53, 1.38, 105.92000000000002, 0.1722276422764228)	0.1901701939125705	84.81526378258361	0.5677894178684452	0.1478956602032478	-151	14.524439	142.38077	35.725517641776726	1
891	(-2.53, 1.38, 25.860000000000035, 0.029023569023569062)	0.8426748156086404	18.993292129763844	0.9222695353186222	0.13329895102788897	-190	19.521423	36.366314	24.402631387801446	1
1395	(-2.53, 1.38, 33.660000000000046, 0.02412903225806455)	0.1341908371188874	47.25223430853279	0.8764446558692353	0.0662349890053943	-265	41.526154	82.90327	51.67842734154854	1
1626	(-2.53, 1.38, 4.540000000000052, 0.002792127921279245)	0.27731892746919384	33.51025613039447	0.8471108990718237	0.08222058089327859	-187	28.714949	83.659515	43.07253617940344	1
2277	(-2.53, 1.38, -66.08999999999992, -0.02902503293807638)	0.0747621358687328	59.50826822922103	0.9318556707919161	0.042968342134132885	-298	65.3963	101.63484	74.92452612309499	1
3387	(-2.53, 1.38, 20.520000000000106, 0.006058458813108977)	0.2056394281804051	43.49317893352115	0.9160524274533395	0.05376324180526137	-241	53.083435	81.90712	60.913769696617535	1
846	(-2.53, 1.38, 25.760000000000026, 0.030449172576832183)	0.2833266439666779	29.992352577928173	0.7937420534383949	0.10976799651020971	-163	28.019281	69.81668	34.43230739394797	1
1083	(-2.53, 1.38, 115.56000000000003, 0.10670360110803327)	0.16932961650053022	40.70700657701497	0.8881526682002495	0.07539280670598196	-193	37.37978	74.80082	44.80265164093117	1
3786	(-2.53, 1.38, 70.79000000000015, 0.018697834125726398)	0.46987627241545177	46.88014120492855	0.8429691109065641	0.07356182640903133	-319	38.13062	97.14996	48.379022623785254	1
2538	(-2.53, 1.38, -116.23999999999991, -0.04579984239558704)	0.1522115461067824	43.46391999458761	0.937927771312148	0.05196229188092995	-331	54.698864	87.50148	61.55503200641631	1
2694	(-2.53, 1.38, 141.2800000000001, 0.05244246473645141)	0.5540940655109695	33.94852122612485	0.9149988328700486	0.08031709779166202	-271	32.55318	61.075035	40.821852343787135	1
1917	(-2.53, 1.38, 110.69000000000007, 0.05774126238914975)	0.3421033660250241	35.47253519843269	0.921516999245614	0.07668894583701959	-265	39.29811	58.446888	42.450727330003126	1
2706	(-2.53, 1.38, 90.92000000000007, 0.03359940872135997)	0.291152230261443	47.16268901115825	0.769267490771343	0.07705911302797165	-202	41.27336	129.94165	50.60808095806976	1
384	(-2.53, 1.38, 58.38000000000001, 0.15203125000000003)	0.3906698988458842	26.25354824815856	0.7199106671451908	0.17850596618128886	-118	13.853675	63.36652	23.34478668978729	1
303	(-2.53, 1.38, 29.670000000000005, 0.09792079207920794)	0.5734207848053566	16.704864399957057	0.8097204766454181	0.19009893460302163	-88	12.745035	42.145863	19.48975814013606	1
1116	(-2.53, 1.38, 11.810000000000038, 0.010582437275985696)	0.12238356505355057	38.456833440436256	0.8938102182849195	0.06855157290314216	-226	35.40516	73.651695	48.96192849901336	1
1593	(-2.53, 1.38, 122.90000000000003, 0.07715003138731955)	0.184200175554195	39.44384683625198	0.8951836145714811	0.06893714160466065	-250	42.743496	71.34714	48.61338455213924	1
840	(-2.53, 1.38, 54.34000000000002, 0.06469047619047621)	0.71125706399521	21.103135627558313	0.8815269377331306	0.1339937466149142	-139	20.374638	40.53201	25.398094575069862	1
2391	(-2.53, 1.38, 102.32000000000006, 0.04279381012128819)	0.18656900801868687	39.909021619236334	0.931215130050242	0.05787520416200143	-268	43.96137	75.711296	55.66454904090241	1
1689	(-2.53, 1.38, 77.08000000000006, 0.04563647128478393)	0.622156586570533	27.76243994190783	0.8469993834325723	0.1067274837654777	-208	25.934916	87.531845	33.18653346045205	1
1200	(-2.53, 1.38, 39.19000000000004, 0.032658333333333366)	0.8243973105385828	22.052968961524847	0.892578249190481	0.1250945276193462	-190	19.330952	43.59848	26.868080679030346	1
1227	(-2.53, 1.38, 34.64000000000006, 0.028231458842705833)	0.19080820467626597	36.03431428977333	0.8705683886453669	0.0788732965203939	-253	38.6739	68.92335	43.690636202543644	1
4269	(-2.53, 1.38, -225.2999999999999, -0.05277582572030918)	0.1283242920422404	54.77057113610952	0.9600088776559093	0.04062780034981482	-409	69.93008	97.06777	76.91706355601364	1
1782	(-2.53, 1.38, -103.75999999999993, -0.05822671156004486)	0.2588234963913211	39.93838497754522	0.8783208173367014	0.07455739046670014	-226	33.28583	82.362335	45.81180245647921	1
1131	(-2.53, 1.38, 107.24000000000004, 0.09481874447391692)	0.2801984437529807	36.8932350370726	0.8559631171873557	0.0929594982039992	-193	35.47468	69.84142	37.70269825733706	1
1311	(-2.53, 1.38, 108.08000000000004, 0.08244088482074755)	0.14889094047563556	37.77622296073549	0.8850745123921777	0.06837343593590697	-208	37.905815	77.843544	49.57400604527481	1
378	(-2.53, 1.38, 4.210000000000015, 0.011137566137566177)	0.295550106175803	23.19908863885627	0.8507054796094735	0.13642849769416396	-109	24.619223	53.538418	25.848594146130296	1
1101	(-2.53, 1.38, 94.23000000000003, 0.08558583106267033)	0.6755368349014422	22.20846953596442	0.8845595570427502	0.12112432766839312	-184	21.295439	52.752586	28.00030720420627	1
4023	(-2.53, 1.38, 63.69000000000011, 0.01583146905294559)	0.12044409207219219	59.196764097267106	0.9470917615696859	0.04130753868115825	-367	60.369858	97.52252	76.68313818431162	1
2241	(-2.53, 1.38, -24.85999999999991, -0.011093261936635391)	0.16230717600950242	39.67948267025688	0.9177478060097458	0.05818511170175911	-304	45.98967	79.29032	56.180555278765304	1
2592	(-2.53, 1.38, -145.74999999999991, -0.056230709876543175)	0.12204882584236967	63.88418576854479	0.8148294757482888	0.05595559811737437	-271	47.24992	153.51569	65.79774070980118	1
867	(-2.53, 1.38, 64.49000000000004, 0.07438292964244525)	0.877472939562185	18.518186639169762	0.9362309684450766	0.13380295805978773	-187	22.299374	34.541855	23.94818130747474	1
3747	(-2.53, 1.38, 103.84000000000012, 0.027712836936215672)	0.4942895270385351	38.35196797158812	0.898159151549237	0.0712142338276509	-247	42.68969	75.00725	46.90305694485769	1
1236	(-2.53, 1.38, 26.190000000000037, 0.021189320388349545)	0.45582582549348527	26.309445649751634	0.8908357196223207	0.10067184974774077	-208	29.296791	60.653694	33.451499000792154	1
1848	(-2.53, 1.38, 82.19000000000007, 0.044475108225108265)	0.1082089417023681	46.58700782877983	0.9363902384062573	0.053119373899500076	-289	53.42846	82.209984	60.31306923210493	1
3357	(-2.53, 1.38, -493.1999999999999, -0.1469168900804289)	0.08636788930744424	63.32194440668683	0.9568219433406493	0.03947747693364598	-394	71.45036	101.34682	79.42198543229775	1
1899	(-2.53, 1.38, 95.05000000000005, 0.05005265929436548)	0.17749833866562417	67.64535393028072	0.7710782018680842	0.07347106831745978	-220	44.900562	123.465485	52.954939227954505	1
1005	(-2.53, 1.38, 109.04000000000002, 0.10849751243781097)	0.8443045299166193	20.26205554501027	0.9290694609890934	0.1288794974730332	-202	20.808764	37.533276	25.05470166920625	1
1161	(-2.53, 1.38, -18.109999999999957, -0.015598621877691609)	0.655285475417177	22.421736644299646	0.8765494619865623	0.11769523372373944	-175	22.563158	56.544437	29.079434156155642	1
1200	(-2.53, 1.38, -4.209999999999965, -0.0035083333333333043)	0.6153903824933028	24.60823898365694	0.883267795923369	0.11202930210987287	-208	25.22678	57.848236	30.317768182520375	1
597	(-2.53, 1.38, 40.020000000000024, 0.06703517587939703)	0.4057938581724817	29.382733229633306	0.7698742972099691	0.14273357495047445	-196	21.60155	69.368355	27.30079479712696	1
936	(-2.53, 1.38, 74.63000000000002, 0.07973290598290601)	0.2908242437620631	33.97593835205911	0.8283716533744487	0.10225809666424694	-160	23.122458	85.9087	35.4159031027552	1
612	(-2.53, 1.38, 0.7500000000000178, 0.0012254901960784604)	0.1317641040909815	39.908301568301766	0.8576959437282256	0.0879813494358505	-211	41.619915	58.201042	39.755505478085865	1
447	(-2.53, 1.38, 57.940000000000005, 0.12961968680089486)	0.6770962031494634	21.525985326595052	0.8683095066453209	0.16493542341530068	-184	17.138992	38.880795	20.94752701170637	1
1404	(-2.53, 1.38, 7.810000000000041, 0.0055626780626780925)	0.4483799060578043	28.133175609893836	0.8062902924011993	0.10479064881140661	-196	20.999487	90.500435	35.506453393503655	1
1800	(-2.53, 1.38, 131.06000000000003, 0.07281111111111113)	0.11314676624748894	44.85659977739955	0.9045214375227557	0.05587973012612569	-253	52.535606	98.31184	59.35374007028739	1
1836	(-2.53, 1.38, 27.650000000000055, 0.015059912854030532)	0.7259943060919233	25.127240098096436	0.9270437392376728	0.09923613480680478	-220	27.863234	47.10024	32.61002930355194	1
5976	(-2.53, 1.38, -201.2799999999998, -0.03368139223560907)	0.17857896686618693	49.6449441850838	0.9445972617968473	0.0412969430712845	-337	66.009735	97.436165	76.9053702587963	1
4425	(-2.53, 1.38, -745.9999999999999, -0.1685875706214689)	0.09832529161171712	64.57483620775022	0.9597759945760501	0.03752385604491696	-409	74.34925	103.0096	83.29979069230028	1
1467	(-2.53, 1.38, 37.50000000000006, 0.025562372188139098)	0.3587498352500141	29.043208638379483	0.8797212734509615	0.08927840660657059	-217	31.017056	63.18858	38.197041796086005	1
462	(-2.53, 1.38, 70.07000000000002, 0.1516666666666667)	0.5211936800575271	27.452928680971784	0.7722680847731184	0.16866752929869777	-190	12.767455	60.565666	23.03147138675698	1
1920	(-2.53, 1.38, 166.43000000000006, 0.0866822916666667)	0.40612652071301675	30.79936988302512	0.9020510900889257	0.08288656101478109	-244	31.518637	61.955788	40.12416410968836	1
7647	(-2.53, 1.38, 290.8800000000002, 0.0380384464495881)	0.3731092920428884	50.852882070058314	0.885385584142205	0.05148758625974259	-283	41.31377	109.56209	65.80914912371637	1
1692	(-2.53, 1.38, 97.60000000000007, 0.05768321513002368)	0.09656031961656193	74.97607782470833	0.749028839066289	0.06544868280015512	-211	36.56159	151.38734	61.19582654971184	1
1209	(-2.53, 1.38, 103.61000000000004, 0.08569892473118283)	0.4254663147910402	26.373270850927472	0.8958505554080071	0.0980628536230373	-166	24.261787	53.66289	34.149249248020055	1
3984	(-2.53, 1.38, 121.93000000000013, 0.030604919678714895)	0.18697929359308044	48.20986109154997	0.8958491206175798	0.05043604612910177	-250	46.963013	110.52201	66.3965249211281	1
3669	(-2.53, 1.38, 34.36000000000011, 0.009364949577541595)	0.48877165748759277	35.85886209844134	0.8647665098728504	0.07389217145952061	-205	41.314934	77.9731	46.94874237499455	1
1389	(-2.53, 1.38, 30.660000000000053, 0.022073434125270016)	0.14239421314043096	44.55897237788236	0.8977851859415704	0.06608745222943421	-226	44.74842	73.80756	50.562648010712564	1
3258	(-2.53, 1.38, 359.18000000000006, 0.11024554941682016)	0.4326252269242268	40.48605563446306	0.8670784204365466	0.0753628229250749	-280	35.06075	71.411865	45.90983364942011	1
384	(-2.53, 1.38, 65.54, 0.17067708333333334)	0.3557907875384859	27.68780548451501	0.7205954535108352	0.1714065235598963	-97	16.863985	66.484955	24.28859483384483	1
1785	(-2.53, 1.38, 24.42000000000005, 0.013680672268907592)	0.3063996349990587	32.187025024470884	0.8992958610061353	0.07734211489122281	-220	35.805973	63.422993	43.13229994033254	1
3537	(-2.53, 1.38, 149.11000000000016, 0.04215719536330228)	0.2570552992715803	55.40310018473577	0.7778963881939264	0.06748321096034957	-274	51.010757	131.25111	57.14835854887658	1
1449	(-2.53, 1.38, -37.799999999999955, -0.026086956521739098)	0.23532252654964989	30.765101846593	0.823353686191751	0.08462403187770605	-250	33.534924	73.02233	43.05673630293796	1
582	(-2.53, 1.38, 95.72000000000003, 0.16446735395189008)	0.42037776257459003	27.457698684338272	0.7588154209699356	0.14943222599396253	-145	17.869104	82.66868	26.45701482005715	1
4365	(-2.53, 1.38, -0.09999999999983089, -2.290950744555118e-05)	0.3150474910858708	53.591018204975526	0.827262311528768	0.0630498301762234	-229	37.798527	114.927475	57.51671772190033	1
1494	(-2.53, 1.38, 14.610000000000051, 0.009779116465863488)	0.3590979815221451	29.75776082225348	0.8542977503001578	0.09049057347118276	-211	25.191887	61.962677	38.8068731941732	1
324	(-2.53, 1.38, 75.27000000000001, 0.23231481481481484)	0.9066527877745105	19.754809594567096	0.7933179990325108	0.21813788620747546	-163	11.159663	41.73305	17.335758427256884	1
1476	(-2.53, 1.38, 51.720000000000056, 0.0350406504065041)	0.1521436850866565	43.267595555368416	0.8802058611472605	0.06583543736898921	-235	42.414745	87.440025	51.769893731047574	1
3402	(-2.53, 1.38, 390.60000000000014, 0.11481481481481486)	0.4198759696566083	35.9747708559753	0.8818782712742539	0.07132643223432149	-247	34.933918	70.94952	47.69382035920276	1
2997	(-2.53, 1.38, 289.0100000000001, 0.09643309976643313)	0.18879437221814496	43.57188006216387	0.9147007597633426	0.05456997348276945	-235	41.6082	91.98408	60.101937447702774	1
378	(-2.53, 1.38, 10.940000000000012, 0.028941798941798973)	0.25275478429607395	30.77979895600959	0.7547094641318287	0.14598406860183027	-118	21.542114	66.612404	27.229269807083366	1
495	(-2.53, 1.38, 10.900000000000027, 0.022020202020202075)	0.2273293509553509	31.168828395548246	0.826589448357379	0.1160186711921624	-175	25.868593	63.62588	31.28264819448037	1
1728	(-2.53, 1.38, 95.22000000000006, 0.0551041666666667)	0.399698467720111	32.61118979199104	0.8898732870242008	0.08635868957266375	-193	27.811785	60.453804	39.03795338571354	1
846	(-2.53, 1.38, 11.630000000000024, 0.01374704491725771)	1.0377331329949997	17.56491037933686	0.9269517468977261	0.14468816703025997	-187	18.801233	30.918457	22.368203883564227	1
7830	(-2.53, 1.38, -230.40999999999968, -0.029426564495529973)	0.33093654271075024	49.73963629086034	0.9394369404645587	0.046568026836981725	-283	56.560863	89.11808	68.57499501160972	1
543	(-2.53, 1.38, 90.45000000000002, 0.16657458563535915)	0.16659679699766403	40.77481442719998	0.7994621271951271	0.10503874532322216	-178	26.388897	87.17015	35.72513136486238	1
1683	(-2.53, 1.38, -26.55999999999993, -0.01578134284016633)	0.10648526141455675	46.74012720746922	0.9197497089743663	0.05494857067485716	-256	50.237556	88.245476	59.36017814389321	1
3891	(-2.53, 1.38, 239.45000000000013, 0.0615394500128502)	0.33468889158665216	41.993557678592744	0.9303974059251637	0.05965512121593491	-274	45.890602	74.675156	54.0511615578015	1
546	(-2.53, 1.38, -20.299999999999976, -0.03717948717948714)	0.1673480696116077	35.616950303534374	0.8473748700162473	0.0992170012657957	-166	28.510622	62.50153	35.682853558989976	1
4305	(-2.53, 1.38, -21.279999999999866, -0.004943089430894278)	0.3289480302928963	61.90305942897241	0.8303735445799656	0.06394858552984319	-259	43.197536	112.23353	56.495883888672736	1
2859	(-2.53, 1.38, 115.56000000000009, 0.04041972717733476)	0.10589934693840786	57.84391398185797	0.9192445606960731	0.04526689382283073	-298	58.55026	106.840385	72.09572132844494	1
1575	(-2.53, 1.38, -16.129999999999953, -0.010241269841269812)	0.4778820737600237	28.782854036487933	0.9016809123065299	0.09264838135946946	-220	26.764706	63.241264	35.91125164989167	1
3000	(-2.53, 1.38, -111.09999999999991, -0.0370333333333333)	0.20747177976541373	41.21274205181969	0.9172599726671252	0.05616904564871558	-295	47.758327	87.05715	58.2279858161509	1
3942	(-2.53, 1.38, -7.459999999999859, -0.0018924403855910346)	0.41611454070269577	40.60137486653723	0.8690607628114472	0.0678963805073588	-241	29.67962	105.63351	50.842218090208256	1
1293	(-2.53, 1.38, 123.03000000000004, 0.09515081206496523)	0.28327648757475543	32.099709797420914	0.8669837581614372	0.08649592537836814	-226	32.256653	63.196537	40.00503399334675	1
402	(-2.53, 1.38, 27.35000000000001, 0.06803482587064678)	0.2336146031392291	30.73084827964065	0.792433046291636	0.13244624294444934	-181	19.309908	54.182724	28.583738698499754	1
390	(-2.53, 1.38, 68.48000000000002, 0.17558974358974364)	0.35286260432924055	28.609158372797587	0.7135752544484033	0.17186220983317133	-103	14.572677	71.46239	24.462513703213762	1
375	(-2.53, 1.38, 52.65000000000001, 0.14040000000000002)	0.27084455555585635	30.82148119666155	0.7460233989327205	0.15180583045395388	-121	18.019445	58.91005	26.489902113365456	1
1077	(-2.53, 1.38, 11.110000000000042, 0.010315691736304589)	0.1516631626934661	38.38198510463114	0.8418441248980424	0.0773352014274776	-238	34.32184	80.05057	46.07998704544283	1
609	(-2.53, 1.38, 35.640000000000015, 0.058522167487684754)	0.4918900424444285	21.826446587660865	0.8302986216219795	0.1404147363403414	-175	16.39146	55.536808	25.732041843882087	1
1566	(-2.53, 1.38, 100.39000000000004, 0.06410600255427844)	0.41241690240111367	26.29199581555163	0.868426630188645	0.09367809911408849	-181	29.210878	62.81443	36.87653037423259	1
1359	(-2.53, 1.38, 57.48000000000005, 0.042295805739514386)	0.31824238236446695	35.68658422666208	0.8182753932250081	0.094242503570117	-172	31.151548	65.24728	38.90227042909237	1
3150	(-2.53, 1.38, 9.27000000000011, 0.0029428571428571776)	0.1980102775563563	46.26971301586135	0.912228024742485	0.05426720881392043	-295	47.065853	114.84647	60.60107943653911	1
735	(-2.53, 1.38, -26.14999999999997, -0.035578231292516964)	0.42235594501795254	23.50530885366998	0.8610044865691346	0.11951377164687585	-169	21.172216	50.27844	29.153982450647423	1
2328	(-2.53, 1.38, -29.799999999999933, -0.01280068728522334)	0.21195587878043431	42.17512962113965	0.8515216425023471	0.06601117878841609	-229	42.684643	95.263725	53.37133620547946	1
462	(-2.53, 1.38, 83.90000000000002, 0.18160173160173165)	0.9282010387356393	14.375879328272282	0.9190665152364935	0.176410658609571	-142	13.776012	27.632576	18.503312763488253	1
1863	(-2.53, 1.38, -209.77999999999994, -0.11260332796564677)	0.14748852092733525	41.75649936894959	0.8799092868681675	0.06151111630676933	-256	44.25721	106.41226	55.428068448479756	1
489	(-2.53, 1.38, 51.55000000000001, 0.1054192229038855)	0.6633334958194984	17.170913527330526	0.8516791273711839	0.164596498487653	-130	16.434586	48.28195	21.400536389558543	1
1158	(-2.53, 1.38, 66.80000000000005, 0.057685664939551)	0.35004073274954484	26.859192765638802	0.8813355653658395	0.09602257403212028	-184	35.751892	55.755207	35.44921439407284	1
684	(-2.53, 1.38, 64.36000000000001, 0.09409356725146201)	0.9990219111746163	16.501402246541907	0.9270106120928658	0.1544445657097418	-199	18.90218	29.378738	20.953854170331667	1
588	(-2.53, 1.38, -49.04999999999998, -0.08341836734693875)	0.15602224065556836	34.55706745377889	0.7897852112643234	0.10212034173266028	-163	29.714798	78.63304	37.19632194196915	1
915	(-2.53, 1.38, 100.11000000000004, 0.10940983606557382)	0.14693900825512318	37.632448284240894	0.8759722105601773	0.08026293896808331	-229	33.87293	72.86517	42.66933434651451	1
375	(-2.53, 1.38, 50.67000000000001, 0.13512000000000002)	0.3351680027734037	24.830668003019202	0.8157361212154941	0.14690113594606927	-151	22.56649	47.277214	25.034931482152444	1
1239	(-2.53, 1.38, 22.15000000000004, 0.017877320419693334)	0.6609793874477419	22.35297285509234	0.9130218825655201	0.11120635696999105	-169	21.742132	55.9134	29.546800130863982	1
834	(-2.53, 1.38, 50.89000000000002, 0.0610191846522782)	0.16405192287253353	33.130036177887675	0.8294623819535002	0.08817945756163194	-145	40.172123	82.37157	41.016361983989114	1
540	(-2.53, 1.38, 24.110000000000014, 0.04464814814814817)	0.7874552989556817	16.80369063755352	0.8844171313022146	0.15972380434953498	-145	16.650822	47.233253	21.237063351368782	1
1869	(-2.53, 1.38, 104.25000000000009, 0.05577849117174964)	0.08493292014055848	65.48200408025437	0.8418103833840641	0.05509143461113169	-244	48.047318	123.74919	64.68787646947112	1
1458	(-2.53, 1.38, 56.51000000000003, 0.038758573388203044)	0.21853069561225597	46.532565607651904	0.827963115255589	0.0796199658626964	-280	33.107346	96.829636	45.508055362128935	1
990	(-2.53, 1.38, -91.06999999999995, -0.09198989898989894)	0.39091626848981975	37.942638601643665	0.8219543592699499	0.11261433518738954	-211	24.590528	67.77541	32.41006292866755	1
1269	(-2.53, 1.38, 19.660000000000036, 0.015492513790386159)	0.3423677736216649	30.628379395445016	0.8668705614931597	0.09287083763615055	-208	24.45351	65.3271	37.263842647959315	1
2415	(-2.53, 1.38, -15.84999999999992, -0.006563146997929574)	0.10994788254725228	51.52512465218013	0.9381330375061964	0.047886382706743356	-289	62.026318	91.260506	66.7797505110154	1
936	(-2.53, 1.38, 79.28000000000003, 0.08470085470085473)	0.40477672476705256	28.265048224541196	0.7781297241150339	0.12283238219307244	-196	21.496553	89.00785	31.387474631718245	1
1152	(-2.53, 1.38, 30.55000000000004, 0.026519097222222256)	0.3306277888572006	30.740317996123277	0.7637559857724189	0.11064204919204053	-133	26.93823	92.558495	35.50147661441457	1
2613	(-2.53, 1.38, 76.64000000000007, 0.029330271718331448)	0.47722194036732013	36.137374187078215	0.9209858223412334	0.07713544130615818	-244	32.627586	68.477165	42.229344622950926	1
822	(-2.53, 1.38, 44.39000000000002, 0.05400243309002436)	0.3707328797758565	26.700577805792555	0.8894686812895204	0.10842808668202028	-166	25.876043	47.7896	31.10633175316413	1
1473	(-2.53, 1.38, 51.56000000000005, 0.035003394433129706)	0.38321966202899793	29.578250002936016	0.8864993751709983	0.08944661137725396	-214	27.277466	60.397713	37.83370982700211	1
657	(-2.53, 1.38, 124.66000000000004, 0.18974124809741255)	0.1164274030861478	40.49185941879255	0.7982222805220539	0.09183539142311233	-166	30.373842	101.09483	40.924871777165585	1
285	(-2.53, 1.38, 21.75000000000001, 0.07631578947368425)	0.3712733599861165	24.04322236361855	0.7181440041589188	0.19113166922065555	-133	13.362025	53.376324	21.856321137399362	1
